Headline,Date and Time,Details
10 Facts About B-21 Raider- world’s first sixth-generation fighter jet,,Northrop Grumman’s B-21 Raider
"Pakistan to get cheaper oil from Russia, says Musadik Malik",,"ISLAMABAD: State Minister for Petroleum Musadik Malik on Monday said Russia will provide petrol and diesel to Pakistan at discounted rates, ARY News reported."
PPP offers chairmanship of standing committees to MQM-P,,Read more: 
Aamir Khan breaks down recalling father’s financial woes,,Bollywood’s A-list actor Aamir Khan got emotional in a recent interview as he recalled the financial woes of his family during his childhood.
Aamir Khan breaks down recalling father’s financial woes,,Watch ARY News live on 
Aamir Khan breaks down recalling father’s financial woes,,Also read: 
Russia says oil price cap ‘will not affect’ Ukraine offensive,,"MOSCOW: The Kremlin said on Monday that a price cap on Russian oil exports agreed by the European Union, G7 and Australia will not affect Moscow’s military campaign in Ukraine."
Starstruck Sharon Stone screams ‘Oh My God’ next to Shahrukh Khan: Watch,,Hollywood star Sharon Stone had an absolutely starstruck moment while sitting next to Bollywood’s Shahrukh Khan at the Red Sea Film Festival.
Starstruck Sharon Stone screams ‘Oh My God’ next to Shahrukh Khan: Watch,,Watch ARY News live on 
Starstruck Sharon Stone screams ‘Oh My God’ next to Shahrukh Khan: Watch,,Also read: 
"Imran Khan summons PTI Lahore MPAs,...",,"LAHORE: Pakistan Tehreek-e-Insaf (PTI) Chairman and former prime minister Imran Khan on Monday summoned assembly members and ticket holders from Lahore for the next general elections’ preparation, ARY News reported citing sources. "
"Imran Khan summons PTI Lahore MPAs,...",,Read more: 
Pakistani envoy returns home days after...,,ISLAMABAD: Head of Mission in Kabul Ubaid-ur-Rehman Nizamani on Monday returned home days after an assassination attempt in Kabul.
PM Shehbaz Sharif inaugurates refurbishment project...,,MANGLA: Prime Minister (PM) Shehbaz Sharif inaugurated on Monday the refurbishment project of Units 5 and 6 of Mangla Dam aimed at enhancing its electricity generation capacity.
‘Kal Ho Naa Ho’ actor Delnaaz...,,"Indian film and TV actor, Delnaaz Irani is out of work, she requested producers and casting directors to give her some work."
‘Kal Ho Naa Ho’ actor Delnaaz...,,Watch ARY News live on 
"Australia PM tests positive for COVID,...",,Australian Prime Minister Anthony Albanese said he had tested positive for COVID-19 on Monday afternoon and would work from home while isolating.
Turkey inflation slows for first time...,,"ISTANBUL: Turkey’s inflation slowed in November for the first time since May 2021, official data showed on Monday, delivering a boost to President Recep Tayyip Erdogan ahead of next year’s election."
Turkey inflation slows for first time...,,Election strategy
Sindh decides to add NHA officials...,,The Scam
Asif Ali Zardari tasked for in-house...,,"Pakistan People’s Party (PPP) co-chairman and former president, Asif Ali Zardari has been tasked with in-house change in Punjab, ARY News reported, citing sources. "
Afghanistan arrests ‘foreign IS member’ for...,,"ISLAMABAD: A foreign member of the Islamic State (IS) group has been arrested in connection with the last week Pakistan’s embassy attack in the Afghan capital, the Taliban’s chief spokesman said Monday."
NEPRA conducts hearing on coal supply...,,"ISLAMABAD: Chairman NEPRA in a hearing over guidelines for coal supply to coal-power plants said that new coal companies being encouraged, ARY News reported on Monday."
Punjab chief secretary seeks four-month leave,,"LAHORE: In what has now appeared as an unprecedented practice in civil bureaucracy, Punjab chief secretary, Kamran Ali Afzal has once again requested an extension in his leave for 130 days."
"Quick Style, Mahira Khan come together...",,Yet another fun collab video of our very own superstar Mahira Khan and Norwegian dance crew Quick Style is viral over social media.
"Quick Style, Mahira Khan come together...",,Watch ARY News live on 
"Quick Style, Mahira Khan come together...",,Also read: 
Sara Inam murder: Shahnawaz’s mother files...,,"ISLAMABAD: The prime suspect Shahnawaz Amir’s mother Sameena Shah on Monday filed an acquittal plea from Sara Inam murder case in the session court Islamabad, ARY News reported. "
Asad Umar summoned by LHC over...,,RAWALPINDI: The Lahore High Court (LHC) Rawalpindi bench on Monday summoned Pakistan Tehreek-e-Insaf leader Asad Umar on December 7 over 
"LHC bars FIA, police from harassing...",,"LAHORE: The Lahore High Court (LHC) on Monday barred police and the Federal Investigation Agency (FIA) from harassing Sofia Mirza, the ex-wife of Umer Farooq Zahoor, ARY News reported."
