Headline,Date and Time,Details
Kanye West hints at another presidential run,,"The rapper and fashion designer Kanye West has suggested he will run for president and wants Donald Trump to be his running mate. Trump, for his part, brushed aside a recent meeting with West as of no significance."
"Russian man, pilot die in helicopter crash in France",,"Two men — a pilot and a Russian businessman — died on Friday when a civilian helicopter flying from Switzerland to Monaco crashed in southern France, officials said."
Russian shelling kills 15 in Kherson as Ukraine battles to restore power,,"Russian shelling of the southern Ukrainian city of Kherson killed 15 civilians Friday, officials said, as engineers across the country sought to restore heat, water and power to major cities."
‘China willing to work with N.Korea for world peace’,,"Chinese President Xi Jinping told North Korean leader Kim Jong Un that Beijing was willing to work with Pyongyang for world peace, North Korean state media said Saturday."
Elon Musk says Twitter’s ban on Trump after Capitol attack was ‘grave mistake’,,"Twitter’s ban on then President Donald Trump after the Jan. 6, 2021, attack on the U.S. Capitol by his supporters was a “grave mistake” that had to be corrected, Chief Executive Elon Musk said on Friday, although he also stated that incitement to violence would continue to be prohibited on Twitter."
Three killed in twin school shootings in Brazil,,"BRASILIA: At least three people including an adolescent girl were killed and 11 others wounded Friday when a 16-year-old shooter wearing Nazi symbols opened fire on two schools in southeastern Brazil, officials said."
"Black Friday deals are here, but not shoppers",,"With the Thanksgiving turkey digested, shoppers were expected to turn out in record numbers to shop for Black Friday deals."
Police raids across Europe hit ‘high-risk’ crime group,,"Police investigating drugs trafficking and money laundering have arrested 44 suspects in 10 countries they think are part of one of Europe’s most dangerous crime networks, Europol announced Friday."
EU ministers endorse new migrant plan after France-Italy spat,,"European interior ministers welcomed Friday an EU plan to better coordinate the handling of migrant arrivals, after a furious row over a refugee rescue boat erupted between Italy and France."
EU ministers endorse new migrant plan after France-Italy spat,,– No more ‘ad hoc’ plans –
EU ministers endorse new migrant plan after France-Italy spat,,– ‘Nothing new’ –
Qatar on verge of exiting FIFA World Cup after...,,The World Cup hopes of Qatar were left hanging by a thread after a 3-1 loss to Senegal that leaves them bottom of Group A and facing elimination just five days after they opened the tournament with a 2-0 loss to Ecuador.
Qatar on verge of exiting FIFA World Cup after...,,QATAR SCORE
Hero to raise prices of motorcycles from next month,,"India’s Hero MotoCorp, the world’s largest two-wheeler maker by sales, said on Friday it would increase the prices of its motorcycles and scooters from Dec. 1 by up to 1,500 Indian rupees ($18.37) due to costs related to inflation."
Ghana plans to buy oil with gold instead of...,,"Ghana’s government is working on a new policy to buy oil products with gold rather than US dollar reserves, Vice-President Mahamudu Bawumia said on Facebook on Thursday."
"UK nurses to stage first strikes on Dec. 15,...",,"Thousands of British nurses will go on strike on Dec. 15 and 20 for more pay, their union said on Friday, adding to a winter of industrial action and putting further pressure on the state-run health system."
Twitter’s verified service with colors to start next week,,"Twitter is planning to roll out its verified service next Friday with different colored checks for individuals, companies and governments, after a botched initial launch led to a surge in "
FIFA World Cup: England fans face stadium ban,,"England fans will be barred from Friday’ match in Qatar against the United States and future World Cup games if they wear crusader replica costumes which are considered culturally insensitive in a Muslim country, FIFA has said."
