Headline,Date and Time,Details
"
سٹے باز ہوشیار : ڈالر کو قابو کرنے کی نئی حمکت عملی ", 8 نومبر 2022,اسلام آباد : امریکی ڈالر کی روز بروز بڑھتی ہوئی قدر کو قابو کرنے اور روپے کو مستحکم کرنے کیلئے وفاقی حکومت نے اہم فیصلہ کیا ہے جس سے سٹہ بازوں کی حوصلہ شکنی بھی ہوگی۔
"
وزیر خزانہ کا اسٹیٹ بینک کی جاری مانیٹری پالیسیوں پر اظہارِ اطمینان ", 7 نومبر 2022, 
"
ملک میں تیل کے ذخائر کی تلاش ، وفاقی حکومت کا بڑا اقدام ", 8 نومبر 2022,اسلام آباد : حکومت نے بلوچستان میں تیل کی تلاش کیلئے چارنئے بلاکس میں کھدائی کی اجازت دے دی۔
"
‘حکومت پاکستان نقد ڈالر میں تجارت پر فوری پابندی عائد کرے’ ", 5 نومبر 2022,کراچی : چیئرمین فاریکس ایسوسی ایشن آف پاکستان ملک بوستان نے مطالبہ کیا کہ حکومت پاکستانی روپے کی قدر میں کمی کو روکنے کے لیے نقد ڈالر میں تجارت پر فوری پابندی عائد کرے۔
"
آن لائن ٹیکسی سروس کے درجنوں ملازمین نوکریوں سے برطرف ", 6 نومبر 2022,نیو یارک : امریکی آن لائن ٹیکسی سروس لفٹ نے بڑھتی ہوئی مہنگائی کے باعث ہونے والے خراب معاشی حالات کی وجہ سے اپنے 683ملازمین کو ملازمت سے نکال دیا۔
"
اسٹاک ایکسچینج : رجسٹرڈ کمپنیوں کے منافع میں معمولی اضافہ ", 6 نومبر 2022,اسلام آباد : پاکستان اسٹاک ایکسچینج میں رجسٹرڈ کمپنیوں کے منافع میں سال کے پہلے 9 ماہ میں سالانہ بنیادوں پر5.2فیصد کی نمو ریکارڈ کی گئی ہے۔
"
روشن ڈیجیٹل اکاؤنٹ کے ڈپازٹس میں ریکارڈ اضافہ ", 7 نومبر 2022,اسلام آباد: اسٹیٹ بینک آف پاکستان کا کہنا ہے کہ روشن ڈیجیٹل اکاؤنٹ ڈپازٹس 5 ارب 29 کروڑ 50 لاکھ ڈالر پر پہنچ گئے ہیں۔
"
بھارت کو تیل کی فراہمی کے لیے تیار ہیں، ایرانی سفیر ", 5 نومبر 2022,نئی دہلی : بھارت میں تعینات ایرانی سفیر ایراج الٰہی نے کہا ہے کہ ہم بھارت کو تیل کی فراہمی کے لیے تیار ہیں تاہم اس کیلیے امریکہ کی غیر قانونی پابندیوں سے بچنے کی ضروت ہے۔
"
شہباز حکومت : پہلی سہ ماہی میں ملکی معیشت کا برا حال ", 4 نومبر 2022,اسلام آباد : مسلم لیگ ن اور اتحادی حکومت کے گزشتہ سال جولائی سے ستمبر بجٹ خسارے میں54فیصد خطرناک اضافہ ریکارڈ کیا گیا ہے۔
"
شہباز حکومت : پہلی سہ ماہی میں ملکی معیشت کا برا حال ", 4 نومبر 2022,بجٹ خسارہ
"
شہباز حکومت : پہلی سہ ماہی میں ملکی معیشت کا برا حال ", 4 نومبر 2022,مجموعی اخراجات
"
شہباز حکومت : پہلی سہ ماہی میں ملکی معیشت کا برا حال ", 4 نومبر 2022,کتنا قرضہ لیا؟ 
"
شہباز حکومت : پہلی سہ ماہی میں ملکی معیشت کا برا حال ", 4 نومبر 2022,فیڈرل ایکسائز ڈیوٹی
"
پاکستان کے آئی ایم ایف سے مذاکرات مؤخر ", 5 نومبر 2022,اسلام آباد: پاکستان کے آئی ایم ایف سے مذاکرات مؤخر ہوگئے، مذاکرات رواں ماہ کے تیسرے ہفتے میں دوبارہ ہوں گے۔
