Headline,Date and Time,Details
"
پی ٹی آئی کے اہم رہنماؤں کے خلاف کریک ڈاؤن کا فیصلہ ", 7 نومبر 2022,قانون نافذ کرنے والے اداروں کا رات گئے وفاقی دارالحکومت اسلام آباد میں اجلاس ہوا جس میں پاکستان تحریک انصاف کے اہم رہنماؤں کیخلاف کریک ڈاؤن کا فیصلہ کیا گیا۔
"
ملازمین کی برطرفی پر ٹوئٹر کے شریک بانی نے خاموشی توڑ دی ", 6 نومبر 2022,ٹوئٹر کے نئے مالک ایلون مسک کی جانب سے ملازمین کی برطرفیوں پر پلیٹ فارم کے شریک بانی اور سابق سی ای او جیک ڈورسی نے خاموشی توڑ دی۔
"
‘پاکستان کو اس بحران سے عمران خان ہی نکال… ", 6 نومبر 2022,ملتان: وائس چیئرمین پی ٹی آئی شاہ محمود قریشی کا کہنا ہے کہ پاکستان کو موجودہ بحران سے عمران خان ہی نکال سکتے ہیں۔
"
کوپ کانفرنس: وزیراعظم مصر پہنچ گئے ", 6 نومبر 2022,شرم الشیخ: وزیر اعظم محمد شہباز شریف ‘ کلائمیٹ امپلیمنٹیشن سمٹ میں شرکت کے لیے مصر کے شہر شرم الشیخ پہنچ گئے۔
"
جیجی حدید نے اپنا ٹوئٹر اکاؤنٹ غیر فعال کرنے کی وجہ بتا دی ", 6 نومبر 2022,لاس ایجنلس: معروف امریکی ماڈل جیجی حدید نے بھی اپنا تصدیق شدہ ٹوئٹر اکاؤنٹ غیر فعال کرنے کا اعلان کر دیا جس سے ان کے مداح مایوس ہوگئے۔
"
جیجی حدید نے اپنا ٹوئٹر اکاؤنٹ غیر فعال کرنے کی وجہ بتا دی ", 6 نومبر 2022,یہ بھی پڑھیں: 
"
جیجی حدید نے اپنا ٹوئٹر اکاؤنٹ غیر فعال کرنے کی وجہ بتا دی ", 6 نومبر 2022,یہ بھی پڑھیں: 
"
سرکاری ملازمین کا پارلیمنٹ ہاؤس کے باہر دھرنے کا اعلان ", 6 نومبر 2022,ملک بھر کے سرکاری ملازمین نے پارلیمنٹ ہاؤس کے باہر دھرنا دینے کا اعلان کر دیا۔
"
کراچی؛ گاڑی کھائی میں گرنے سے 5 افراد جاں بحق ", 7 نومبر 2022,کراچی: سپرہائی وے پر گاڑی کھائی میں گرنے سے 5 افراد جاں بحق ہو گئے۔
