Headline,Date and Time,Details
"Poorest among peer poverty
","October 31, 2022","Pakistan, India and Bangladesh are poor countries. The poorest in the country cannot afford food for sustenance, much less healthy food. But even in that, Pakistan’s poorest are by far poorer than the poorest of India and Bangladesh."
"Floods reverse human development
","October 31, 2022",A United Nations-sponsored 
"India's first fully solar village lights up the lives of poor residents
","November 1, 2022",Kesa Bhai Prajapati beams with a smile as he moulds blocks of clay into jugs and vases on a potter's wheel.
"Prices of petroleum products to remain unchanged: Ishaq Dar
","October 31, 2022",Finance Minister Ishaq Dar on Monday announced that there would be no change in the prices of petroleum products for the next fortnight.
"FBR misses October’s collection target
","November 1, 2022","ISLAMABAD:  After exceeding projections for several months, the Federal Board of  Revenue (FBR) missed its collection target for October by 17 per cent,  or Rs88  billion, owing to a sharp drop in imports, showed provisional  data on Monday."
"Sales of cement bags drop by one-fourth
","November 1, 2022",KARACHI: Cement sales in the first four months of 2022-23 are expected to have gone down by 21-25 per cent on a year-on-year basis.
"OGDC, PPL to invest in Reko Diq
","November 1, 2022","KARACHI: Two state-owned energy companies listed on the Pakistan Stock Exchange said on Monday that they have negotiated and finalised, along with Government Holdings Pakistan Ltd, the definitive agreements for their respective participation in the reconstituted Reko Diq project."
"Aleem-linked firm withdraws offer to buy Silkbank
","November 1, 2022",KARACHI: A property development company with links to former Punjab minister Aleem Khan is no more interested in buying Silkbank Ltd.
"Elon Musk, who runs four other companies, will now be Twitter CEO
","November 1, 2022","Tesla Inc boss Elon Musk said in a filing on Monday he will serve as chief executive of Twitter, the social media company he just "
"Give Opec+ a phone call if world needs more oil: UAE minister
","November 1, 2022","ABU DHABI: The United Arab Emirates’ energy minister said on Monday that Opec+ is willing to provide the world with the oil it needs, and that if consumers require more, the alliance of top producers was  “only a phone call away”."
"Islamic banks appear inclined towards joining their conventional banking brethren in a rich tradition of rent-seeking
","October 31, 2022","Pakistan is currently reeling from extremely high inflation, brought on by an ambitious spending programme and subsidised financing in the wake of Covid-19 to spur growth. As a result, credit to the private sector expanded by Rs2.28 trillion between Q1-2020 and Q2-2022. But that’s a familiar story."
"Brickbats for struggling Babar as Pakistan's World Cup exit looms
","November 1, 2022",Babar Azam was supposed to lead Pakistan to Twenty20 World Cup glory but the team are on the brink of an early exit and the usually inspirational skipper is facing growing questions about his batting and leadership.
"Journalist Sadaf Naeem's death casts spotlight on ‘rat race’ of breaking news
","November 1, 2022",KARACHI: The tragic 
"US to advance defence partnership with India to contain China
","November 1, 2022","WASHINGTON: The United States will advance its major defence partnership with India to enhance its ability to deter China’s aggression and ensure free and open access to the Indian Ocean region, says a new US defence strategy launched over the weekend."
"PM Shehbaz announces Rs1,800bn agriculture package to facilitate loans, inputs
","October 31, 2022","Prime Minister Shehbaz Sharif on Monday announced a special package of Rs1,800 billion to promote the agriculture sector, including the provision of free seeds and inexpensive loans and bringing down the prices of fertilisers and electricity for tubewells."
