Headline,Date and Time,Details
"Contempt case: In reply to SC, Imran says was unaware of undertaking by PTI to not congregate at D-Chowk on May 25","October 31, 2022","Former prime minister Imran Khan on Monday submitted a reply to the Supreme Court in connection with a contempt petition filed against him by the government, saying that he was not aware of any undertaking submitted by his party on his behalf that the May 25 “Azadi March” would not proceed to D-Chowk."
"Falling further behind
","October 31, 2022",Pakistan is resetting its ties with the US and is trying to balance its relationship with China and Russia. This rebalancing of geopolitical positioning has a deep impact on local politics.
"Floods reverse human development
","October 31, 2022",A United Nations-sponsored 
"Enhancing farmers’ income
","October 31, 2022","In October 2022, thousands of farmers protested in Islamabad, demanding a reduction in the prices of agricultural inputs. The recent hike in prices of fertiliser and electricity has resulted in a higher cost of crop production, which in turn has negatively impacted farmers’ income and the profitability of the agriculture sector."
"Poorest among peer poverty
","October 31, 2022","Pakistan, India and Bangladesh are poor countries. The poorest in the country cannot afford food for sustenance, much less healthy food. But even in that, Pakistan’s poorest are by far poorer than the poorest of India and Bangladesh."
Oil slips as China Covid curbs outweigh concerns over US output,"October 31, 2022","Oil prices fell on Monday on concerns that widening Covid-19 curbs in China will curtail demand, offsetting signs that output at the top United States shale field is losing steam."
"Death toll from bridge collapse in India's Gujarat rises to 132, search on for missing
","October 31, 2022","The death toll from a bridge collapse in Gujarat in India rose to 132, a local government official told "
"The perpetual loop
","October 28, 2022","FOR all that changes in the country, the khaki-coloured reality TV show that is power politics is on a perpetual loop. Individual characters can and do evolve, but the storyline inevitably comes back to the self-proclaimed uniformed guardians of the state."
"Sunak’s rise to PM
","October 29, 2022",RISHI Sunak 
"A victory for human rights
","October 27, 2022","JUSTICE eludes most of us, wherever we are. In Pakistan, it barely ever makes a stop. Even when there is a glimmer of accountability, it is ephemeral. Convicted murderers flash victory symbols as they get escorted out of prison into their homes."
"Out of the danger zone
","October 27, 2022",IT has come as a huge relief for Pakistan that it has been 
"Pakistan: the way forward?
","October 28, 2022","MUCH seems to have changed in Pakistan in the last year or so. A lot more people are a lot more concerned about where we are and, more importantly, where we are headed — if we are indeed headed anywhere as a nation and country."
"Editorial: The Azam Swati incident can be a test case for authorities to ensure supremacy of law
","October 31, 2022",SENATOR Azam Khan Swati’s allegations against two senior officers working for the nation’s top intelligence agency are very serious and require clarification from the military top brass. Mr Swati was taken into custody by the FIA earlier this month after he posted a controversial tweet critical of the military leadership. 
"Comment: Pakistan face improbable path to the semi-final
","October 31, 2022",PAKISTAN are alive but barely kicking in this year’s World T20 after a 
"Pakistan-US relations are at an inflection point and need efforts to identify where interests converge
","October 31, 2022",PRESIDENT Joe Biden’s 
"Pakistan is in a phase when another bargain between political elites is both plausible and needed
","October 31, 2022","A MISTAKE that a section of the commentariat continues to make is to painstakingly separate factional/power competition from lofty, ideological politics as far as consequences for civilian supremacy are concerned. The reason why this separation is less relevant in the current moment is that both may lead to similar outcomes — a reduction in the military’s influence in the political domain."
"Finance ministry warns of rising inflation, tough economic conditions ahead
","October 31, 2022","ISLAMABAD: Presenting a broad-based dismal macroeconomic performance so far this year, the Ministry of Finance has forewarned over 21 per cent rate of inflation, tough economic conditions and increasing fiscal challenges because of expenditure overruns during the current fiscal year (FY23). "
"Islamic banks appear inclined towards joining their conventional banking brethren in a rich tradition of rent-seeking
","October 31, 2022","Pakistan is currently reeling from extremely high inflation, brought on by an ambitious spending programme and subsidised financing in the wake of Covid-19 to spur growth. As a result, credit to the private sector expanded by Rs2.28 trillion between Q1-2020 and Q2-2022. But that’s a familiar story."
"Ukraine war: Threats and opportunities for Pakistan
","October 31, 2022","The Global Economy is transitioning to a new multipolar world order, the most significant shift in the global balance of power since the second world war. The "
"COMMENT: Zimbabwe exploit Pakistan’s batting woes in shock win
","October 28, 2022",			
"‘If institutions apolitical, why hold a press conference’: Imran raises questions on ISPR presser","October 27, 2022","PTI Chairman Imran Khan on Thursday raised questions on the unprecedented press conference held by Inter-Services Intelligence (ISI) chief Lt Gen Nadeem Ahmed Anjum and Inter-Services Public Relations (ISPR) DG Lt Gen Babar Iftikhar earlier today, saying that if institutions were apolitical what was the purpose of holding a “political presser”."
Azam Swati names military officials behind ‘custodial torture’,"October 28, 2022",PTI leader Azam Swati on Friday held two military officials responsible for his custodial torture and called for them to be removed from their posts.
"Army, ISI in unprecedented presser question Arshad Sharif's exit from Pakistan, point to PTI's involvement
","October 27, 2022","In an explosive and unexpected press conference, Inter-Services Intelligence (ISI) chief Lt Gen Nadeem Ahmed Anjum joined Inter-Services Public Relations (ISPR) DG Lt Gen Babar Iftikhar to speak about journalist Arshad Sharif's killing and former premier Imran Khan's confrontational narrative against the military, as well as a host of other related topics. "
"Imran begins long march with guns aimed at spy chief
","October 29, 2022","• Ex-PM says ISI DG delivered ‘political presser’, conveniently ignored ‘group of thieves’"
"T20 World Cup: Rossouw blasts century as South Africa crush Bangladesh by 104 runs
","October 27, 2022",Rilee Rossouw blasted 109 and shared in a record-breaking stand with Quinton de Kock as South Africa crushed Bangladesh to kickstart their Twenty20 World Cup title charge in Sydney on Thursday.
"Asitha replaces Binura in injury-hit Sri Lanka squad
","October 28, 2022","SYDNEY: Bowler Asitha Fernando will join up with Sri Lanka’s Twenty20 World Cup squad as a replacement for Binura Fernando after the seamer was ruled out due to a hamstring injury, tournament organisers said on Thursday. "
"Aamer Yamin takes five as CP get off to flying start against Sindh in Quaid-i-Azam Trophy match
","October 28, 2022",KARACHI: All-rounder Aamer Yamin took his ninth first-class five-wicket haul to help Central Punjab bowl out Sindh for a paltry 188 at Rawalpindi’s Pindi Cricket Stadium as the sixth round of the Quaid-i-Azam Trophy got underway on Thursday. 
"T20 World Cup: Babar defends move to play extra pacer after Zimbabwe loss
","October 28, 2022",Captain Babar Azam defended his decision to play an extra fast bowler in Thursday's shock Twenty20 World Cup 
"Ireland-Afghanistan match washed out at T20 World Cup
","October 28, 2022",Ireland skipper Andrew Balbirnie expressed frustration after rain denied his giant-killers a crack at another famous win at the Twenty20 World Cup on Friday.
Head coach Aikman upbeat about Pakistan’s show at Azlan Shah Cup,"October 29, 2022",KARACHI: Pakistan hockey team head coach Siegfried Aikman is optimistic that the team’s hard work in the preparatory camp will translate into good performances in the upcoming Sultan Azlan Shah Cup.
