Headline,Date and Time,Details
"Russian defence chiefs discussed nuclear use, claims NYT
","November 3, 2022","WASHINGTON/MOSCOW: High-level Russ­ian military leaders rece­ntly discussed when and how they might use tactical nuclear wea­pons on the battlefield in Ukraine, "
"3 Pakistani firemen killed in Doha training accident
","October 28, 2022","DOHA: Three Pakistani firemen died in a training accident in the Qatari capital weeks before the start of the World Cup, officials said on Thursday."
"Pakistan seeks Indus treaty implementation
","October 29, 2022",WASHINGTON: Pakistan has once again demanded “complete implementation” of the Indus Water Treaty as the World Bank has appointed an arbitrator and a neutral observer to ensure the treaty’s enforcement.
"Death toll from bridge collapse in India's Gujarat rises to 132, search on for missing
","October 31, 2022","The death toll from a bridge collapse in Gujarat in India rose to 132, a local government official told "
Bridge death toll climbs to 135 as search operations in India’s Gujarat enter third day,"November 1, 2022","The death toll from an Indian foot bridge collapse rose to 135 on Tuesday with search operations entering a third day, although authorities said nearly all those believed to have been missing are now accounted for."
"Flags at half-mast as India's Gujarat mourns deadly bridge collapse
","November 2, 2022",India's Gujarat state on Wednesday mourned the death of 135 people from a 
"Alarmed by KU suicide attack, China and Pakistan work together on probe","October 31, 2022",It was the kind of attack authorities had dreaded.
"Arab leaders say Palestinian cause still dear to them, but silent on split
","November 3, 2022","ALGIERS: Arab leaders said on Wednesday that the Palestinian cause was still central for them after their first summit meeting in three years, but they did not directly address their own splits over peace with Israel or its election of a new right-wing government."
"The march and after
","November 2, 2022","THE battle lines have now been clearly drawn. Apparently undeterred by the security establishment’s frontal attack, Imran Khan is marching on the citadel. The much-awaited ‘long march’ has "
"LHC admits petition seeking removal of Imran Khan as PTI chief
","November 2, 2022",The Lahore High Court on Wednesday accepted for hearing a petition calling for PTI Chairman Imran Khan to be removed as the party chief after his 
SC gives Imran another chance to explain alleged flouting of court orders during May 25 march,"November 2, 2022",The Supreme Court (SC) on Wednesday stopped short of issuing a show-cause notice to PTI chief Imran Khan and gave him another chance to explain his alleged flouting of a May 25 court 
"In meeting with PM Shehbaz, China's Xi says will support Pakistan in stabilising its financial situation
","November 2, 2022","China will continue to support Pakistan in stabilising its financial situation, state media quoted China's President Xi Jinping as saying on Wednesday."
"Virat Kohli stars as India beat Bangladesh to stand on brink of T20 semi-finals
","November 2, 2022",Virat Kohli became the highest run-scorer in Twenty20 World Cup history on Wednesday as India edged Bangladesh by five runs in a crunch rain-hit Twenty20 World Cup clash in Adelaide that went to the last ball.
"Means and ends
","November 2, 2022",THERE is little at the moment that can deter Imran Khan. 
"Canadian-Indian singer AP Dhillon injured on tour, apologises to fans for postponing US shows","June 29, 2015",SAHIWAL: Coordination officers will be appointed at union council (UC) level to facilitate people’s complaints against public officials and departments.
Swifties consider selling their kidneys for Taylor Swift’s first US stadium tour in five years,"June 29, 2015",LAHORE: A three-year-old boy found wandering on a highway on Saturday night was reunited with his family on Sunday after a public appeal by the National Highways & Motorway Police.
"American rapper Takeoff, member of Migos, shot dead at 28: TMZ","June 29, 2015",SIALKOT: PML-N MNA Zahid Hamid’s wife Shehnaz Zahid died after a protracted illness at a hospital in Lahore on Sunday night. She was 65.
Netflix’s Fate: the Winx Saga cancelled after two seasons,"June 29, 2015","LAHORE:  Field teams of the Punjab Food Authority on Sunday sealed various factories, restaurants and eateries over different violations of relevant law."
Australian hotel issues apology and fires employees who recorded Virat Kohli’s room,"June 29, 2015",LAHORE: Police claimed on Sunday to have arrested a four-member gang involved in robbery and theft cases in separate areas of the city.
Virat Kohli calls out ‘fan’ for taking unauthorised video of his hotel room,"June 29, 2015","PESHAWAR: Has Khyber Pakhtunkhwa run its course of financial sustainability? Is the bubble about to burst? On the face of it, this may seem unlikely but dig deeper into the budget for 2015-2016 and it stares you right in the face."
"Much ado and some confusion about UK PM Rishi Sunak’s swearing by Bhagavad Gita
","November 1, 2022",NEWS about Rishi Sunak’s Hindu religion and also his 
"Brickbats for struggling Babar as Pakistan's World Cup exit looms
","November 1, 2022",Babar Azam was supposed to lead Pakistan to Twenty20 World Cup glory but the team are on the brink of an early exit and the usually inspirational skipper is facing growing questions about his batting and leadership.
"Channel 5 reporter Sadaf Naeem crushed to death under Imran's container during long march coverage
","October 30, 2022","Sadaf Naeem, a reporter covering the "
"Imran promises revolution, through ‘ballot’ or ‘bloodshed’
","November 1, 2022","• Rules out talks with Shehbaz, says no establishment can stand against its people"
"Imran claims dialogue on with ‘establishment’
","October 31, 2022","• Says didn’t approach Shehbaz, implying govt cannot offer him anything"
"Comment: Pakistan face improbable path to the semi-final
","October 31, 2022",PAKISTAN are alive but barely kicking in this year’s World T20 after a 
"Canada ups immigration targets to half million by 2025
","November 2, 2022","OTTAWA: Canada will boost its immigration targets, hoping to welcome a record number of newcomers in order to address a worker shortage in the country, Immigration Minister Sean Fraser announced on Tuesday. “Canada needs more people,” Fraser told a news conference."
"Musk announces $8 monthly charge for verified Twitter accounts
","November 2, 2022",SAN FRANCISCO: New Twitter head Elon Musk said on Tuesday the site will charge $8 per month to verify users’ accounts.
"Russia plans wider evacuation of southern Ukraine
","November 2, 2022","KYIV: Russia ordered civilians to leave a sliver of Ukraine along the eastern bank of the Dnipro River, a major extension of an evacuation order that Kyiv says amounts to the forced depopulation of occupied territory."
"Panama river cleaned up by trash-trapping wheel in a green first
","November 2, 2022","PANAMA CITY: Latin America’s first renewable-powered, trash-trapping wheel whisks away garbage floating down one of Panama’s most important but heavily polluted rivers before it spills into the Pacific Ocean, thanks to an initiative by a local environmental group."
"Moscow ‘returns’ to grain deal
","November 3, 2022","MOSCOW: Russia said on Wednesday that it would renew its participation in an agreement allowing Ukraine to export grain via the Black Sea, just four days after suspending its role in the deal."
"China locks down over half a million people
","November 3, 2022",			
"Can put headscarf reform to vote: Erdogan
","November 3, 2022",ANKARA: Turkish Pre­sident Tayyip Erdogan said on Wednesday his ruling AK Party (AKP) could put a constitutional amendment protecting women’s right to wear headscarves to a referendum if it was not passed by parliament.
"Indonesian football stampede blamed on tear gas use
","November 3, 2022",JAKARTA: Indonesian police firing tear gas was the main trigger for a 
"Impunity rate for journalists’ killings ‘shockingly high’: report
","November 3, 2022","ISLAMABAD: Commemorating the Internati­onal Day to End Impunity for Crimes Against Journalists on Wednesday, Unesco warned that the global impunity rate for journalists’ killings remains shockingly high at 86 per cent."
Netanyahu set to head ultra-right govt in Israel; poll results send jitters across Middle East,"November 3, 2022",JERUSALEM: Former Israeli prime minister Benjamin Netanyahu was set to return to power as Wednesday’s vote count showed his conservative Likud party and its likely religious and far-right allies were on pace to control a majority in parliament after Israel’s fifth election in less than four years.
Headline,Date and Time,Details
Chinese cities relax testing rules as zero-Covid policy eases,"December 5, 2022",Businesses reopened and testing requirements were relaxed in Beijing and other Chinese cities on Monday as the country tentatively eases out of a strict zero-Covid policy that 
"Iran abolishes morality police after months of protests
","December 5, 2022","TEHRAN: Iran has scrapped its morality police after more than two months of protests triggered by the arrest of Mahsa Amini for allegedly violating the country’s female dress code, local media said Sunday."
"‘No diplomatic solution’ to Ukraine war in sight, says Nobel winner
","December 5, 2022",			
Isaac Herzog becomes first Israeli president to visit Bahrain,"December 4, 2022","Israeli President Isaac Herzog visited Bahrain on Sunday on the first trip by an Israeli head of state to the small Gulf kingdom, following the normalisation of relations in 2020."
"Blinken warns Netanyahu on West Bank annexation but holds fire on far-right cabinet
","December 4, 2022",US Secretary of State Antony Blinken vowed on Sunday to oppose Israeli settlements or annexation in the West Bank but promised to judge Prime Minister Benjamin Netanyahu's incoming government by actions and not personalities.
"Seventy Rohingya arrested in Myanmar after truck crash
","December 5, 2022","YANGON: Seventy Rohingya people hiding in a truck transporting ginger were arrested north of Yangon after the vehicle crashed into a roadside canal, the Myanmar junta said on Sunday."
