headline,date_and_time,details
ترکیہ: خواتین پر تشدد کیخلاف ریلی، پولیس نے درجنوں مظاہرین کو گرفتار کرلیا, 26 نومبر 2022,ترکیہ کے شہر استنبول میں خواتین کےخلاف تشدد کے خاتمے کے عالمی دن کے موقع پر ریلی نکالی گئی، پولیس نے درجنوں مظاہرین کو گرفتار کرلیا۔
رواں مالی سال میں ترقیاتی اخراجات میں 45 فیصد کمی, 26 نومبر 2022,ملک میں سیلاب کی تباہ کاریوں اور سود کی بڑھتی ہوئی ادائیگیوں کے درمیان  حکومت کے مجموعی اخراجات میں اضافے کی وجہ سے رواں مالی سال کے اوائل میں پاکستان کے ترقیاتی اخراجات تقریباً 45 فیصد سے کم ہوکر 99 ارب روپے سے بھی کم ہوگئے ہیں۔
حمیمہ ملک کی پنجابی اسٹائل اور عروہ حسین کی ڈسکو دیوانے پر ڈانس کی ویڈیوز وائرل, 26 نومبر 2022,پاکستان کے معروف ترین ’لکس اسٹائل ایوارڈز‘ کی 21 ویں سالانہ تقریب میں شوبز شخصیات اور خصوصی طور پر عروہ حسین اور حمیمہ ملک کی جانب سے کی گئی ڈانس پرفارمنس کی ویڈیوز سوشل میڈیا پر وائرل ہوگئیں۔
جنوبی پنجاب کے مسلح گروہ کالعدم تنظیم کے سائے تلے متحد، پولیس تھانوں پر حملے کی دھمکی, 26 نومبر 2022,جنوبی پنجاب میں پولیس مقابلے کے دوران ایک انتہائی مطلوب مجرم کی ہلاکت کے بعد خطرناک مجرموں کے کئی گروہوں نے ایک کالعدم عسکریت پسند گروپ (بی ایل اے) کے سائے تلے متحد ہونے کے بعد راجن پور کی تحصیل روجھان میں چھ پولیس تھانوں پر حملہ کرنے کی دھمکی دی ہے۔
"'سرمایہ کاروں کے لیے سازگار ماحول بنائیں گے'
", 26 نومبر 2022,			
"پرویز خٹک نے گاڑی موٹروے کے گرین بیلٹ پر چڑھادی
", 26 نومبر 2022,			
جنرل ندیم رضا ریٹائر، پاک فوج کی قیادت میں تبدیلی کا عمل شروع, 26 نومبر 2022,جنرل ندیم رضا نے ملٹری سروس سے ریٹائرمنٹ کے بعد چیئرمین جوائنٹ چیفس آف اسٹاف کمیٹی کے عہدے سے سبکدوش ہو گئے۔
اہلیان سوات کو ایک دہائی بعد پھر طالبان سے بھتہ خوری کے پیغامات موصول ہونے لگے,اپ ڈیٹ 26 نومبر 2022,صوبہ خیبر پختونخوا کے ضلع سوات میں مبینہ طور پر طالبان کی واپسی کی خبروں سےعوام میں خوف پھیل گیا ہے، انہیں ڈر ہے کہ یہ صورت حال سوات کو دوبارہ دہشت گردی کا شکار بنا سکتی ہے۔
"سوال کرنے پر تحریک انصاف کے رہنما نے صحافی کو لات ماردی
", 26 نومبر 2022,			
متعدد بار تاخیر کا شکار رہنے والی فلم ’ٹچ بٹن‘ ریلیز, 26 نومبر 2022,متعدد بار تاخیر کا شکار اور مسائل میں پھنسی فلم ’ٹچ بٹن‘ کو بلآخر پاکستان سمیت دنیا بھر میں 25 نومبر کو ریلیز کردیا گیا۔
’قطر کا موازنہ دیگر عالمی کپ ٹیموں سے کرنا بے وقوفی تھی‘,اپ ڈیٹ 26 نومبر 2022,سب سے پہلے ٹورنامنٹ میں جگہ بنانے والا میزبان قطر عالمی کپ کی دوڑ سے باہر ہونے والا پہلا ملک بھی بن چکا۔ سچ پوچھیں تو حیرت نہیں ہوئی کیونکہ قطر کا موازنہ دیگر ٹیموں سے کرنا بے وقوفی تھی۔
اگر امدادی سامان کی تقسیم سیاسی بنیادوں پر کی گئی ہے تو معذرت کرتی ہوں، شیری رحمٰن, 26 نومبر 2022,وفاقی وزیر برائے موسمیات تبدیلی اور پاکستان پیپلز پارٹی کی رہنما شیری رحمٰن نے کہا ہے کہ اگر امدادی سامان کی تقسیم سیاسی بنیادوں پر کی گئی ہے تو میں اس پر ’معذرت‘ کرتی ہوں۔
"'آج کا دن حقیقی آزادی کا دن ہے'
", 26 نومبر 2022,			
"عثمان ڈار نے کارکنوں کو اپنے علاقوں سے ناشتہ کرکے آنے کا کہہ دیا
", 26 نومبر 2022,			
