headline,date_and_time,details
"برازیل: صدر بولسونارو کو شکست، لوئز لولاڈی سلوا نئے صدر منتخب
", 31 اکتوبر 2022,برازیل میں منعقدہ صدارتی انتخابات میں صدر بولسونارو کو مخالف امیدوار سابق صدر لوئزلولا ڈی سلوا سے معمولی فرق سے شکست ہوگئی۔
"صومالیہ: دو کار بم دھماکوں میں 100 افراد جاں بحق، 300 سے زائد زخمی
", 30 اکتوبر 2022,صومالیہ کے دارالحکومت موغادیشو میں وزارت تعلیم کے باہر 2 کار بم دھماکوں کے نتیجے میں 100 افراد جاں بحق جبکہ 300 سے زائد زخمی ہوگئے۔ 
"بھارتی ریاست گجرات میں پُل گرنے سے ہلاکتوں کی تعداد 132 ہوگئی
", 31 اکتوبر 2022,بھارتی ریاست گجرات میں 100 سال پرانا پل گرنے سے ہلاکتوں کی تعداد 132 ہوگئی ہے۔
روس کا یوکرین سے معاہدہ معطل کرنے کے بعد دنیا میں اناج کی فراہمی متاثر ہونے کا خدشہ, 31 اکتوبر 2022,روس کی جانب سے یوکرین کی بندرگاہوں سے زرعی پیداوار برآمد کرنے کے لیے اقوام متحدہ کی ثالثی کے تحت ہونے والا معاہدہ معطل کرنے کے بعد دنیا میں خوراک کی فراہمی اور اناج کی قیمتوں میں اضافے کے خدشات ہیں۔
"امریکا نے بائیولوجیکل ہتھیار استعمال کرنے کا الزام مسترد کردیا
", 29 اکتوبر 2022,امریکی سفیر نے روس کی جانب سے امریکا پر یوکرین کی حیاتیاتی ہتھیاروں کی مالی معاونت کا الزام ’من گھڑت اور جھوٹا‘ قرار دے دیا۔
"جنوبی کوریا: ہالووین فیسٹیول کے دوران بھگڈر سے 120افراد ہلاک، 100 زخمی
",اپ ڈیٹ 30 اکتوبر 2022,جنوبی کوریا کے دارالحکومت سیئول میں ہالووین فیسٹیول کے دوران بھگڈر مچنے سے 120افراد ہلاک اور دیگر 100زخمی ہوگئے۔
"بھارتی ریاست گجرات میں 100سال پرانا پل گرنے سے 60 افراد ہلاک
",اپ ڈیٹ 31 اکتوبر 2022,بھارتی ریاست گجرات میں 100 سال پرانا پل گرنے سے 60 افراد ہلاک ہو گئے۔
"وزیراعظم دورہ چین کے دوران اسٹریٹجک تعلقات کو مزید تقویت دینے کیلئے پرعزم
", 30 اکتوبر 2022,وزیر اعظم شہباز شریف نے کہا ہے کہ دورہ چین کے دوران اسٹریٹجک تعلقات کو مزید وسعت دینے اور تجارت سمیت کاروباری تعلقات کو مزید تقویت دینے کے لیے پرامید ہیں۔
"جنوبی کوریا: ہالووین فیسٹیول کے دوران بھگڈر سے 151 افراد کی ہلاکت کے بعد سوگ کا اعلان
",اپ ڈیٹ 30 اکتوبر 2022,جنوبی کوریا کے دارالحکومت سیئول میں ہالووین فیسٹیول کے دوران بھگڈر مچنے سے 151 افراد کی ہلاکت کے بعد صدر یون سک یئول نے قومی سوگ کا اعلان کردیا۔
