Headline,Date and Time,Details
موڈیز نے 5 پاکستانی بینکوں کی ریٹنگ کم کر دی , بدھ 12 اکتوبر 2022,موڈیز انویسٹرز سروس نے 5 پاکستانی بینکوں کی ریٹنگ کم کر دی۔
اوپن مارکیٹ میں ڈالر کی قیمت میں 4 روپے اضافہ, جمعـء 14 اکتوبر 2022,درآمدی و بیرونی ادائیگیوں کے دباؤ اور ذرمبادلہ کے ذخائر میں مسلسل کمی کے رحجان کے باعث جمعہ کو انٹر بینک میں ڈالر کی پیش قدمی جاری رہی۔
کراچی کی ساڑھے 3 ارب روپے کی ترقیاتی اسکیمیں منسوخ , جمعرات 13 اکتوبر 2022,شہرمیں ترقیاتی کاموں کے ٹھیکوں کی مبینہ تقسیم پر  مبینہ طور پر دو بااثر گروپس آمنے سامنے آگئے جس کے باعث کراچی کی ساڑھے 3 ارب روپے سے زائد لاگت کی ترقیاتی اسکیمیں منسوخ کردی گئیں۔
نوجوانوں کو جدید ٹیکنالوجی سکھانے کیلیے پاکستان گریجویٹ پروگرام کا آغاز , بدھ 12 اکتوبر 2022,معروف ڈیجیٹل کمپنی ایرکسن نے نوجوانوں کو عالمی معیار کی قابلیت اور ترقی کے مواقع فراہم کرنے پاکستان گریجویٹ پروگرام کا آغاز کردیا ہے، جو باصلاحیت نوجوانوں اور اختراعی ذہنوں کو سیکھنے سمیت کیریئر کی ترقی کے مواقع فراہم کرتا ہے۔
معاشی بحران نے پاکستان میں ترقیاتی کاموں کو روک دیا , جمعرات 13 اکتوبر 2022,ملک کے شدید معاشی بحران نے وفاقی حکومت کو رواں مالی سال کی پہلی سہ ماہی میں ترقیاتی اخراجات میں کمی کر کے محض 48 ارب روپے کرنے پر مجبور کر دیا جو کہ سالانہ مختص کا بمشکل 7 فیصد ہے اور سرکاری ہدف سے بھی دو تہائی کم ہے۔ 
ترسیلات زر میں 6.3 فیصدکمی، ستمبر میں 2.4 ارب ڈالر آئے , بدھ 12 اکتوبر 2022,سمندر پار پاکستانیوں کی ترسیلات زرمیں جاری مالی سال کی پہلی سہ ماہی میں سالانہ بنیادوں پر6.3 فیصد کی کمی ریکارڈکی گئی۔
ڈالر کی قیمت میں معمولی اضافہ , بدھ 12 اکتوبر 2022,حکومتی اجازت کے بعد 50ہزار ڈالر تک درآمدی لیٹر آف کریڈٹس کی ادائیگیوں کے دباؤ اور وزیرخزانہ کی بیرون ملک روانہ ہوتے ہی بدھ کو ڈالر کی قدر ایک بار پھر بڑھ گئی جس سے ڈالر کے اوپن ریٹ 220روپے سے تجاوز کرگیا۔
چھوٹے تاجروں پر سالانہ فکس ٹیکس عائد کرنے کی تجویز , جمعرات 13 اکتوبر 2022,ریجنل ٹیکس آفس بہاولپور کی جانب سے قائم کردہ تاجرکمیٹی نے چھوٹے تاجروں پر فکس ٹیکس عائد کرنے کی تجویز دیدی۔
ایک ہفتے کے دوران زرمبادلہ کے ذخائر میں 30 کروڑ ڈالر سے زائد کمی , جمعـء 14 اکتوبر 2022,ملک میں گزشتہ ایک ہفتے کے دوران مرکزی بینک کے زرمبادلہ کے ذخائر میں 30 کروڑ سے زائد کی کمی ہوئی ہے۔
